name,rank,totalEvents,townHall,ticketedEvent,teleTownHall,officeHour,emptyChair,other
Jon Tester,343,1,0,0,0,0,0,1
Blake Farenthold,344,1,0,0,0,1,0,0
Lisa Blunt Rochester,345,1,0,0,0,0,0,1
Charles W. Dent,346,1,0,0,0,0,0,1
Pat Toomey,347,1,0,0,0,0,0,1
Steve Daines,348,1,0,0,0,0,1,0
John Yarmuth,349,2,0,0,1,0,0,1
Mimi Walters,350,3,0,0,1,0,2,0
John M. Shimkus,351,2,0,0,0,0,1,1
Todd Young,352,2,0,0,0,1,1,0
Luke Messer,353,1,0,0,0,0,1,0
Pat Roberts,354,2,0,1,0,0,0,1
Brian Higgins,355,6,0,0,0,4,0,2
Keith Rothfus,356,8,0,0,0,8,0,0
Mitch McConnell,357,5,0,1,0,0,0,4
Joe Donnelly,358,1,0,0,0,0,0,1
Rand Paul,359,1,0,0,0,1,0,0
David Rouzer,360,2,0,0,0,2,0,0
Catherine Cortez Masto,361,1,0,0,0,1,0,0
Adam Kinzinger,362,1,0,0,0,0,0,1
Andy Barr,363,3,0,0,0,2,0,1
Peter T. King,364,1,0,0,0,0,1,0
Dina Titus,365,1,0,0,0,0,0,1
Cedric Richmond,366,1,0,0,0,0,0,1
Val Demings,367,2,0,0,0,0,0,2
Roy Blunt,368,1,0,0,0,0,1,0
